,Date,Open,High,Low,Last,Close,Volume,Total Traded,MA50,MA200,returns,Cumulative Return
0,2016-01-04,400.0,400.1,375.05,376.15,377.05,7822660,3129064000.0,298.4442066805845,288.0230957653457,-0.0546984863589664,0.938168698681264
1,2016-01-05,381.05,382.45,372.1,373.0,374.45,6901068,2629651961.4,298.4442066805845,288.0230957653457,-0.0068956371833974,0.931699427718338
2,2016-01-06,374.25,375.5,364.6,365.0,365.9,7211230,2698802827.5,298.4442066805845,288.0230957653457,-0.0228334891173721,0.9104254789748694
3,2016-01-07,356.25,358.0,338.1,344.8,343.55,11782307,4197446868.75,298.4442066805845,288.0230957653457,-0.0546984863589664,0.8548146305051008
4,2016-01-08,345.6,355.85,345.6,353.9,353.35,8770370,3031039872.0,298.4442066805845,288.0230957653457,0.0285256876728279,0.8791988056730531
5,2016-01-11,343.9,364.75,341.65,360.45,360.2,10576721,3637334351.9,298.4442066805845,288.0230957653457,0.0193858780246214,0.8962428464792237
6,2016-01-12,362.7,363.95,351.6,355.4,355.0,8363062,3033282587.4,298.4442066805845,288.0230957653457,-0.0144364242087728,0.8833043045533715
7,2016-01-13,360.45,369.8,356.3,363.0,364.6,14191511,5115330139.95,298.4442066805845,288.0230957653457,0.0270422535211267,0.9071908434934064
8,2016-01-14,356.1,359.4,346.8,353.8,354.3,10673343,3800777442.3,298.4442066805845,288.0230957653457,-0.028250137136588,0.8815625777556606
9,2016-01-15,353.9,353.9,339.35,340.7,341.3,6557584,2320728977.6,298.4442066805845,288.0230957653457,-0.0366920688681907,0.8492162229410302
10,2016-01-18,341.0,343.3,334.4,340.5,340.2,6285144,2143234104.0,298.4442066805845,288.0230957653457,-0.003222970993261,0.8464792236874845
11,2016-01-19,343.0,357.2,342.0,354.25,354.15,7304555,2505462365.0,298.4442066805845,288.0230957653457,0.0410052910052909,0.8811893505847226
12,2016-01-20,349.65,349.65,338.8,341.9,342.25,9156596,3201603791.4,298.4442066805845,288.0230957653457,-0.0336015812508823,0.8515799950236378
13,2016-01-21,340.65,344.15,323.0,327.6,328.55,16524035,5628912522.75,298.4442066805845,288.0230957653457,-0.0400292184075967,0.8174919134112965
14,2016-01-22,335.5,345.9,331.5,339.65,339.5,9595392,3219254016.0,298.4442066805845,288.0230957653457,0.0333282605387308,0.8447374968897737
